TweetID,TweetText,Label
140,I'm so grateful for my supportive friends.,Not_Depressed
141,"Today was a great day, I feel so happy!",Not_Depressed
142,I just want to stay in bed and never wake up.,Depressed
143,"Today was a great day, I feel so happy!",Not_Depressed
144,I'm feeling really productive this morning.,Not_Depressed
145,I don't see any light at the end of the tunnel.,Depressed
146,"Today was a great day, I feel so happy!",Not_Depressed
147,Just had a delicious lunch!,Not_Depressed
148,Everything is just too much to handle right now.,Depressed
149,Looking forward to the weekend with my friends!,Not_Depressed
150,Everything is just too much to handle right now.,Depressed
151,Everything feels so heavy and meaningless.,Depressed
152,Life is beautiful and full of possibilities.,Not_Depressed
153,I cry for no reason almost every day.,Depressed
154,I feel like a burden to everyone around me.,Depressed
155,Had a wonderful time at the park today.,Not_Depressed
156,I don't see any light at the end of the tunnel.,Depressed
157,I feel so hopeless and tired all the time.,Depressed
158,I'm really enjoying this new book I'm reading.,Not_Depressed
159,I cry for no reason almost every day.,Depressed
160,The sun is shining and I feel energized.,Not_Depressed
161,It's hard to even get out of bed in the morning.,Depressed
162,I've lost interest in everything I used to love.,Depressed
163,Got a promotion at work today! So excited.,Not_Depressed
164,Life is beautiful and full of possibilities.,Not_Depressed
165,I'm so grateful for my supportive friends.,Not_Depressed
166,"I feel so alone, even when I'm with people.",Depressed
167,Looking forward to the weekend with my friends!,Not_Depressed
168,"I feel so alone, even when I'm with people.",Depressed
169,Had a wonderful time at the park today.,Not_Depressed
170,I cry for no reason almost every day.,Depressed
171,"Today was a great day, I feel so happy!",Not_Depressed
172,Got a promotion at work today! So excited.,Not_Depressed
173,I'm really enjoying this new book I'm reading.,Not_Depressed
174,I'm so grateful for my supportive friends.,Not_Depressed
175,Everything feels so heavy and meaningless.,Depressed
176,I cry for no reason almost every day.,Depressed
177,I feel like a burden to everyone around me.,Depressed
178,"Today was a great day, I feel so happy!",Not_Depressed
179,Everything feels so heavy and meaningless.,Depressed
180,It's hard to even get out of bed in the morning.,Depressed
181,I'm so grateful for my supportive friends.,Not_Depressed
182,Got a promotion at work today! So excited.,Not_Depressed
183,Everything is just too much to handle right now.,Depressed
184,Everything feels so heavy and meaningless.,Depressed
185,Everything is just too much to handle right now.,Depressed
186,I've lost interest in everything I used to love.,Depressed
187,The sun is shining and I feel energized.,Not_Depressed
188,I feel like a burden to everyone around me.,Depressed
189,I'm feeling really productive this morning.,Not_Depressed
190,Everything feels so heavy and meaningless.,Depressed
191,Everything is just too much to handle right now.,Depressed
192,I'm so grateful for my supportive friends.,Not_Depressed
193,I'm really enjoying this new book I'm reading.,Not_Depressed
194,"I feel so alone, even when I'm with people.",Depressed
195,Had a wonderful time at the park today.,Not_Depressed
196,I'm really enjoying this new book I'm reading.,Not_Depressed
197,I'm feeling really productive this morning.,Not_Depressed
198,"I feel so alone, even when I'm with people.",Depressed
199,I cry for no reason almost every day.,Depressed
200,I feel so hopeless and tired all the time.,Depressed
201,The sun is shining and I feel energized.,Not_Depressed
202,Got a promotion at work today! So excited.,Not_Depressed
203,I don't see any light at the end of the tunnel.,Depressed
204,I'm so grateful for my supportive friends.,Not_Depressed
205,"Today was a great day, I feel so happy!",Not_Depressed
206,Life is beautiful and full of possibilities.,Not_Depressed
207,"Today was a great day, I feel so happy!",Not_Depressed
208,Everything is just too much to handle right now.,Depressed
209,I feel like a burden to everyone around me.,Depressed
210,Got a promotion at work today! So excited.,Not_Depressed
211,I don't see any light at the end of the tunnel.,Depressed
212,I'm so grateful for my supportive friends.,Not_Depressed
213,"I feel so alone, even when I'm with people.",Depressed
214,I cry for no reason almost every day.,Depressed
215,Got a promotion at work today! So excited.,Not_Depressed
216,I cry for no reason almost every day.,Depressed
217,Had a wonderful time at the park today.,Not_Depressed
218,I cry for no reason almost every day.,Depressed
219,It's hard to even get out of bed in the morning.,Depressed
220,I've lost interest in everything I used to love.,Depressed
221,I don't see any light at the end of the tunnel.,Depressed
222,I'm feeling really productive this morning.,Not_Depressed
223,Looking forward to the weekend with my friends!,Not_Depressed
224,I'm really enjoying this new book I'm reading.,Not_Depressed
225,I feel so hopeless and tired all the time.,Depressed
226,Just had a delicious lunch!,Not_Depressed
227,I cry for no reason almost every day.,Depressed
228,I don't see any light at the end of the tunnel.,Depressed
229,"Today was a great day, I feel so happy!",Not_Depressed
230,Looking forward to the weekend with my friends!,Not_Depressed
231,Got a promotion at work today! So excited.,Not_Depressed
232,Got a promotion at work today! So excited.,Not_Depressed
233,I don't see any light at the end of the tunnel.,Depressed
234,Everything feels so heavy and meaningless.,Depressed
235,I just want to stay in bed and never wake up.,Depressed
236,I cry for no reason almost every day.,Depressed
237,Everything is just too much to handle right now.,Depressed
238,I cry for no reason almost every day.,Depressed
239,I just want to stay in bed and never wake up.,Depressed
240,Looking forward to the weekend with my friends!,Not_Depressed
241,I feel like a burden to everyone around me.,Depressed
242,Life is beautiful and full of possibilities.,Not_Depressed
243,I feel like a burden to everyone around me.,Depressed
244,Life is beautiful and full of possibilities.,Not_Depressed
245,I'm really enjoying this new book I'm reading.,Not_Depressed
246,I'm so grateful for my supportive friends.,Not_Depressed
247,The sun is shining and I feel energized.,Not_Depressed
248,Everything feels so heavy and meaningless.,Depressed
249,Looking forward to the weekend with my friends!,Not_Depressed
250,I'm really enjoying this new book I'm reading.,Not_Depressed
251,"I feel so alone, even when I'm with people.",Depressed
252,Life is beautiful and full of possibilities.,Not_Depressed
253,Looking forward to the weekend with my friends!,Not_Depressed
254,It's hard to even get out of bed in the morning.,Depressed
255,It's hard to even get out of bed in the morning.,Depressed
256,I don't see any light at the end of the tunnel.,Depressed
257,I feel like a burden to everyone around me.,Depressed
258,Everything feels so heavy and meaningless.,Depressed
259,I'm feeling really productive this morning.,Not_Depressed
260,It's hard to even get out of bed in the morning.,Depressed
261,Everything feels so heavy and meaningless.,Depressed
262,The sun is shining and I feel energized.,Not_Depressed
263,Life is beautiful and full of possibilities.,Not_Depressed
264,I'm really enjoying this new book I'm reading.,Not_Depressed
265,Looking forward to the weekend with my friends!,Not_Depressed
266,It's hard to even get out of bed in the morning.,Depressed
267,I feel like a burden to everyone around me.,Depressed
268,Had a wonderful time at the park today.,Not_Depressed
269,The sun is shining and I feel energized.,Not_Depressed
270,I've lost interest in everything I used to love.,Depressed
271,I just want to stay in bed and never wake up.,Depressed
272,I feel like a burden to everyone around me.,Depressed
273,I don't see any light at the end of the tunnel.,Depressed
274,The sun is shining and I feel energized.,Not_Depressed
275,I just want to stay in bed and never wake up.,Depressed
276,"I feel so alone, even when I'm with people.",Depressed
277,I'm really enjoying this new book I'm reading.,Not_Depressed
278,I'm really enjoying this new book I'm reading.,Not_Depressed
279,Just had a delicious lunch!,Not_Depressed
280,Life is beautiful and full of possibilities.,Not_Depressed
281,Had a wonderful time at the park today.,Not_Depressed
282,Life is beautiful and full of possibilities.,Not_Depressed
283,Got a promotion at work today! So excited.,Not_Depressed
284,I don't see any light at the end of the tunnel.,Depressed
285,Looking forward to the weekend with my friends!,Not_Depressed
286,I'm so grateful for my supportive friends.,Not_Depressed
287,I don't see any light at the end of the tunnel.,Depressed
288,The sun is shining and I feel energized.,Not_Depressed
289,Just had a delicious lunch!,Not_Depressed
290,Everything is just too much to handle right now.,Depressed
291,"Today was a great day, I feel so happy!",Not_Depressed
292,It's hard to even get out of bed in the morning.,Depressed
293,I don't see any light at the end of the tunnel.,Depressed
294,Looking forward to the weekend with my friends!,Not_Depressed
295,"Today was a great day, I feel so happy!",Not_Depressed
296,Life is beautiful and full of possibilities.,Not_Depressed
297,Everything feels so heavy and meaningless.,Depressed
298,The sun is shining and I feel energized.,Not_Depressed
299,It's hard to even get out of bed in the morning.,Depressed
300,Got a promotion at work today! So excited.,Not_Depressed
301,Life is beautiful and full of possibilities.,Not_Depressed
302,Life is beautiful and full of possibilities.,Not_Depressed
303,I feel so hopeless and tired all the time.,Depressed
304,Life is beautiful and full of possibilities.,Not_Depressed
305,I feel so hopeless and tired all the time.,Depressed
306,I just want to stay in bed and never wake up.,Depressed
307,I cry for no reason almost every day.,Depressed
308,I just want to stay in bed and never wake up.,Depressed
309,Looking forward to the weekend with my friends!,Not_Depressed
310,Life is beautiful and full of possibilities.,Not_Depressed
311,I'm so grateful for my supportive friends.,Not_Depressed
312,I've lost interest in everything I used to love.,Depressed
313,I feel like a burden to everyone around me.,Depressed
314,I've lost interest in everything I used to love.,Depressed
315,Life is beautiful and full of possibilities.,Not_Depressed
316,Life is beautiful and full of possibilities.,Not_Depressed
317,I feel like a burden to everyone around me.,Depressed
318,I'm feeling really productive this morning.,Not_Depressed
319,I feel like a burden to everyone around me.,Depressed
320,Everything is just too much to handle right now.,Depressed
321,It's hard to even get out of bed in the morning.,Depressed
322,I don't see any light at the end of the tunnel.,Depressed
323,"Today was a great day, I feel so happy!",Not_Depressed
324,"I feel so alone, even when I'm with people.",Depressed
325,"I feel so alone, even when I'm with people.",Depressed
326,Looking forward to the weekend with my friends!,Not_Depressed
327,I'm so grateful for my supportive friends.,Not_Depressed
328,I cry for no reason almost every day.,Depressed
329,The sun is shining and I feel energized.,Not_Depressed
330,I just want to stay in bed and never wake up.,Depressed
331,I've lost interest in everything I used to love.,Depressed
332,Everything feels so heavy and meaningless.,Depressed
333,"Today was a great day, I feel so happy!",Not_Depressed
334,Everything feels so heavy and meaningless.,Depressed
335,Everything feels so heavy and meaningless.,Depressed
336,Life is beautiful and full of possibilities.,Not_Depressed
337,I cry for no reason almost every day.,Depressed
338,I feel like a burden to everyone around me.,Depressed
339,The sun is shining and I feel energized.,Not_Depressed
340,Just had a delicious lunch!,Not_Depressed
341,Looking forward to the weekend with my friends!,Not_Depressed
342,It's hard to even get out of bed in the morning.,Depressed
343,I don't see any light at the end of the tunnel.,Depressed
344,Everything is just too much to handle right now.,Depressed
345,I'm feeling really productive this morning.,Not_Depressed
346,I've lost interest in everything I used to love.,Depressed
347,I'm really enjoying this new book I'm reading.,Not_Depressed
348,I feel like a burden to everyone around me.,Depressed
349,The sun is shining and I feel energized.,Not_Depressed
350,"Today was a great day, I feel so happy!",Not_Depressed
351,"Today was a great day, I feel so happy!",Not_Depressed
352,It's hard to even get out of bed in the morning.,Depressed
353,"I feel so alone, even when I'm with people.",Depressed
354,I'm really enjoying this new book I'm reading.,Not_Depressed
355,Just had a delicious lunch!,Not_Depressed
356,Had a wonderful time at the park today.,Not_Depressed
357,I cry for no reason almost every day.,Depressed
358,I feel so hopeless and tired all the time.,Depressed
359,I don't see any light at the end of the tunnel.,Depressed
360,I'm so grateful for my supportive friends.,Not_Depressed
361,Had a wonderful time at the park today.,Not_Depressed
362,Looking forward to the weekend with my friends!,Not_Depressed
363,"Today was a great day, I feel so happy!",Not_Depressed
364,It's hard to even get out of bed in the morning.,Depressed
365,Got a promotion at work today! So excited.,Not_Depressed
366,I've lost interest in everything I used to love.,Depressed
367,Got a promotion at work today! So excited.,Not_Depressed
368,Life is beautiful and full of possibilities.,Not_Depressed
369,Everything is just too much to handle right now.,Depressed
370,Life is beautiful and full of possibilities.,Not_Depressed
371,Just had a delicious lunch!,Not_Depressed
372,"Today was a great day, I feel so happy!",Not_Depressed
373,I'm so grateful for my supportive friends.,Not_Depressed
374,"I feel so alone, even when I'm with people.",Depressed
375,It's hard to even get out of bed in the morning.,Depressed
376,Got a promotion at work today! So excited.,Not_Depressed
377,I just want to stay in bed and never wake up.,Depressed
378,I feel so hopeless and tired all the time.,Depressed
379,"Today was a great day, I feel so happy!",Not_Depressed
380,I've lost interest in everything I used to love.,Depressed
381,"Today was a great day, I feel so happy!",Not_Depressed
382,It's hard to even get out of bed in the morning.,Depressed
383,I cry for no reason almost every day.,Depressed
384,Looking forward to the weekend with my friends!,Not_Depressed
385,"I feel so alone, even when I'm with people.",Depressed
386,The sun is shining and I feel energized.,Not_Depressed
387,Just had a delicious lunch!,Not_Depressed
388,"Today was a great day, I feel so happy!",Not_Depressed
389,I'm so grateful for my supportive friends.,Not_Depressed
390,Just had a delicious lunch!,Not_Depressed
391,Had a wonderful time at the park today.,Not_Depressed
392,I feel like a burden to everyone around me.,Depressed
393,Life is beautiful and full of possibilities.,Not_Depressed
394,I don't see any light at the end of the tunnel.,Depressed
395,"I feel so alone, even when I'm with people.",Depressed
396,I feel so hopeless and tired all the time.,Depressed
397,Had a wonderful time at the park today.,Not_Depressed
398,It's hard to even get out of bed in the morning.,Depressed
399,"Today was a great day, I feel so happy!",Not_Depressed
400,Just had a delicious lunch!,Not_Depressed
401,I'm so grateful for my supportive friends.,Not_Depressed
402,Everything is just too much to handle right now.,Depressed
403,The sun is shining and I feel energized.,Not_Depressed
404,Had a wonderful time at the park today.,Not_Depressed
405,I'm feeling really productive this morning.,Not_Depressed
406,The sun is shining and I feel energized.,Not_Depressed
407,Got a promotion at work today! So excited.,Not_Depressed
408,Had a wonderful time at the park today.,Not_Depressed
409,Had a wonderful time at the park today.,Not_Depressed
410,Had a wonderful time at the park today.,Not_Depressed
411,Got a promotion at work today! So excited.,Not_Depressed
412,The sun is shining and I feel energized.,Not_Depressed
413,I feel like a burden to everyone around me.,Depressed
414,Looking forward to the weekend with my friends!,Not_Depressed
415,Life is beautiful and full of possibilities.,Not_Depressed
416,I feel so hopeless and tired all the time.,Depressed
417,"Today was a great day, I feel so happy!",Not_Depressed
418,It's hard to even get out of bed in the morning.,Depressed
419,Everything feels so heavy and meaningless.,Depressed
420,I'm really enjoying this new book I'm reading.,Not_Depressed
421,"Today was a great day, I feel so happy!",Not_Depressed
422,The sun is shining and I feel energized.,Not_Depressed
423,"Today was a great day, I feel so happy!",Not_Depressed
424,Had a wonderful time at the park today.,Not_Depressed
425,Everything is just too much to handle right now.,Depressed
426,Had a wonderful time at the park today.,Not_Depressed
427,The sun is shining and I feel energized.,Not_Depressed
428,I don't see any light at the end of the tunnel.,Depressed
429,Everything is just too much to handle right now.,Depressed
430,I just want to stay in bed and never wake up.,Depressed
431,I just want to stay in bed and never wake up.,Depressed
432,I don't see any light at the end of the tunnel.,Depressed
433,I cry for no reason almost every day.,Depressed
434,Had a wonderful time at the park today.,Not_Depressed
435,Life is beautiful and full of possibilities.,Not_Depressed
436,Got a promotion at work today! So excited.,Not_Depressed
437,I don't see any light at the end of the tunnel.,Depressed
438,"Today was a great day, I feel so happy!",Not_Depressed
439,I just want to stay in bed and never wake up.,Depressed
440,I cry for no reason almost every day.,Depressed
441,"Today was a great day, I feel so happy!",Not_Depressed
442,Just had a delicious lunch!,Not_Depressed
443,I've lost interest in everything I used to love.,Depressed
444,Had a wonderful time at the park today.,Not_Depressed
445,Just had a delicious lunch!,Not_Depressed
446,I feel like a burden to everyone around me.,Depressed
447,I've lost interest in everything I used to love.,Depressed
448,Everything is just too much to handle right now.,Depressed
449,I'm so grateful for my supportive friends.,Not_Depressed
450,"I feel so alone, even when I'm with people.",Depressed
451,Got a promotion at work today! So excited.,Not_Depressed
452,I'm so grateful for my supportive friends.,Not_Depressed
453,Just had a delicious lunch!,Not_Depressed
454,Everything is just too much to handle right now.,Depressed
455,I feel so hopeless and tired all the time.,Depressed
456,"I feel so alone, even when I'm with people.",Depressed
457,Life is beautiful and full of possibilities.,Not_Depressed
458,I just want to stay in bed and never wake up.,Depressed
459,Looking forward to the weekend with my friends!,Not_Depressed
460,I just want to stay in bed and never wake up.,Depressed
461,I cry for no reason almost every day.,Depressed
462,"I feel so alone, even when I'm with people.",Depressed
463,Looking forward to the weekend with my friends!,Not_Depressed
464,I cry for no reason almost every day.,Depressed
465,I feel so hopeless and tired all the time.,Depressed
466,I feel so hopeless and tired all the time.,Depressed
467,"Today was a great day, I feel so happy!",Not_Depressed
468,The sun is shining and I feel energized.,Not_Depressed
469,Life is beautiful and full of possibilities.,Not_Depressed
470,I don't see any light at the end of the tunnel.,Depressed
471,Everything is just too much to handle right now.,Depressed
472,I've lost interest in everything I used to love.,Depressed
473,"Today was a great day, I feel so happy!",Not_Depressed
474,I'm really enjoying this new book I'm reading.,Not_Depressed
475,"Today was a great day, I feel so happy!",Not_Depressed
476,I feel so hopeless and tired all the time.,Depressed
477,I cry for no reason almost every day.,Depressed
478,Everything feels so heavy and meaningless.,Depressed
479,Got a promotion at work today! So excited.,Not_Depressed
480,I'm so grateful for my supportive friends.,Not_Depressed
481,The sun is shining and I feel energized.,Not_Depressed
482,Had a wonderful time at the park today.,Not_Depressed
483,"Today was a great day, I feel so happy!",Not_Depressed
484,I don't see any light at the end of the tunnel.,Depressed
485,I'm feeling really productive this morning.,Not_Depressed
486,Life is beautiful and full of possibilities.,Not_Depressed
487,I'm really enjoying this new book I'm reading.,Not_Depressed
488,I'm so grateful for my supportive friends.,Not_Depressed
489,Just had a delicious lunch!,Not_Depressed
490,I'm so grateful for my supportive friends.,Not_Depressed
491,It's hard to even get out of bed in the morning.,Depressed
492,I'm so grateful for my supportive friends.,Not_Depressed
493,I'm feeling really productive this morning.,Not_Depressed
494,"Today was a great day, I feel so happy!",Not_Depressed
495,The sun is shining and I feel energized.,Not_Depressed
496,I feel so hopeless and tired all the time.,Depressed
497,Life is beautiful and full of possibilities.,Not_Depressed
498,I just want to stay in bed and never wake up.,Depressed
499,I'm so grateful for my supportive friends.,Not_Depressed
500,Had a wonderful time at the park today.,Not_Depressed
501,I'm really enjoying this new book I'm reading.,Not_Depressed
502,I'm feeling really productive this morning.,Not_Depressed
503,Life is beautiful and full of possibilities.,Not_Depressed
504,I'm so grateful for my supportive friends.,Not_Depressed
505,The sun is shining and I feel energized.,Not_Depressed
506,"I feel so alone, even when I'm with people.",Depressed
507,I feel so hopeless and tired all the time.,Depressed
508,Just had a delicious lunch!,Not_Depressed
509,It's hard to even get out of bed in the morning.,Depressed
510,Everything is just too much to handle right now.,Depressed
511,I'm so grateful for my supportive friends.,Not_Depressed
512,"Today was a great day, I feel so happy!",Not_Depressed
513,The sun is shining and I feel energized.,Not_Depressed
514,Had a wonderful time at the park today.,Not_Depressed
515,I don't see any light at the end of the tunnel.,Depressed
516,"I feel so alone, even when I'm with people.",Depressed
517,"Today was a great day, I feel so happy!",Not_Depressed
518,Everything is just too much to handle right now.,Depressed
519,I'm really enjoying this new book I'm reading.,Not_Depressed
520,Got a promotion at work today! So excited.,Not_Depressed
521,Everything feels so heavy and meaningless.,Depressed
522,Had a wonderful time at the park today.,Not_Depressed
523,Got a promotion at work today! So excited.,Not_Depressed
524,I'm so grateful for my supportive friends.,Not_Depressed
525,Just had a delicious lunch!,Not_Depressed
526,I just want to stay in bed and never wake up.,Depressed
527,I'm so grateful for my supportive friends.,Not_Depressed
528,Had a wonderful time at the park today.,Not_Depressed
529,I don't see any light at the end of the tunnel.,Depressed
530,Just had a delicious lunch!,Not_Depressed
531,Everything is just too much to handle right now.,Depressed
532,Everything feels so heavy and meaningless.,Depressed
533,I just want to stay in bed and never wake up.,Depressed
534,Just had a delicious lunch!,Not_Depressed
535,It's hard to even get out of bed in the morning.,Depressed
536,I feel like a burden to everyone around me.,Depressed
537,Got a promotion at work today! So excited.,Not_Depressed
538,The sun is shining and I feel energized.,Not_Depressed
539,I'm feeling really productive this morning.,Not_Depressed
540,I just want to stay in bed and never wake up.,Depressed
541,"I feel so alone, even when I'm with people.",Depressed
542,I've lost interest in everything I used to love.,Depressed
543,I'm so grateful for my supportive friends.,Not_Depressed
544,I'm really enjoying this new book I'm reading.,Not_Depressed
545,"Today was a great day, I feel so happy!",Not_Depressed
546,It's hard to even get out of bed in the morning.,Depressed
547,Had a wonderful time at the park today.,Not_Depressed
548,I'm really enjoying this new book I'm reading.,Not_Depressed
549,"I feel so alone, even when I'm with people.",Depressed
550,I feel so hopeless and tired all the time.,Depressed
551,I feel like a burden to everyone around me.,Depressed
552,Had a wonderful time at the park today.,Not_Depressed
553,Everything feels so heavy and meaningless.,Depressed
554,The sun is shining and I feel energized.,Not_Depressed
555,I just want to stay in bed and never wake up.,Depressed
556,"I feel so alone, even when I'm with people.",Depressed
557,I don't see any light at the end of the tunnel.,Depressed
558,I'm feeling really productive this morning.,Not_Depressed
559,Got a promotion at work today! So excited.,Not_Depressed
560,I'm feeling really productive this morning.,Not_Depressed
561,"I feel so alone, even when I'm with people.",Depressed
562,Life is beautiful and full of possibilities.,Not_Depressed
563,I feel like a burden to everyone around me.,Depressed
564,I'm feeling really productive this morning.,Not_Depressed
565,I'm so grateful for my supportive friends.,Not_Depressed
566,I just want to stay in bed and never wake up.,Depressed
567,I'm so grateful for my supportive friends.,Not_Depressed
568,Looking forward to the weekend with my friends!,Not_Depressed
569,I cry for no reason almost every day.,Depressed
570,It's hard to even get out of bed in the morning.,Depressed
571,I feel so hopeless and tired all the time.,Depressed
572,I'm feeling really productive this morning.,Not_Depressed
573,I cry for no reason almost every day.,Depressed
574,I'm so grateful for my supportive friends.,Not_Depressed
575,I don't see any light at the end of the tunnel.,Depressed
576,The sun is shining and I feel energized.,Not_Depressed
577,Everything feels so heavy and meaningless.,Depressed
578,The sun is shining and I feel energized.,Not_Depressed
579,Looking forward to the weekend with my friends!,Not_Depressed
580,I just want to stay in bed and never wake up.,Depressed
581,Life is beautiful and full of possibilities.,Not_Depressed
582,I feel like a burden to everyone around me.,Depressed
583,I feel like a burden to everyone around me.,Depressed
584,I've lost interest in everything I used to love.,Depressed
585,"Today was a great day, I feel so happy!",Not_Depressed
